annata,provincia,titolo
94/95,Trapani,L'astuzia del monaco e lo spiedo del diavolo
94/95,Trapani,"La provincia verde. Lo Zingaro, regno della giummarra"
94/95,Trapani,Gli argenti dei vescovi di Mazara
94/95,Trapani,"Selinunte, danze fra i templi"
94/95,Trapani,"Le tentazioni dei ""mazaresi al pistacchio"""
95/96,Agrigento,"Progetti giovani. Mini-lauree in restauro e ""dottori"" per la foresta"
95/96,Agrigento,Sul tempio dei Dioscuri un falso settecentesco
95/96,Agrigento,I grandi fumetti dei gemelli Cassaro
95/96,Agrigento,Gastronomia barocca per la gioia di Daudet
95/96,Agrigento,Quando un parco letterario per la casa di Pirandello?
95/96,Caltanissetta,Progetti giovani. Contro disagio e devianza in campo solo i volontari
95/96,Caltanissetta,"Michele, l'angelo con la spada"
95/96,Caltanissetta,La provincia verde. Biviere e il mostro del lago
95/96,Caltanissetta,"Parietaria, incubo degli allergici"
95/96,Catania,Progetti giovani. Viaggio-premio a chi inventa lavoro
95/96,Catania,1895-1995. Cinema! Da Visconti a Lucchetti i set sotto il vulcano
95/96,Catania,Le piacce di Strano il re dei cantastorie
95/96,Catania,"Tra guerre, nozze e rapimenti l'epopea degli Aragonesi"
95/96,Catania,Cuori in pena e canti di zolfara
95/96,Catania,Il monastero risorto dai terremoti
95/96,Catania,"Misterbianco, la campana strappata alla lava"
95/96,Catania,Il Municipio nel segno dell'elefante
95/96,Catania,La provincia verde. Nel regno di Efesto il paradiso delle piante
95/96,Catania,Il carrubo di san Giovanni
95/96,Catania,La musica di Battiato contro i luoghi comuni
95/96,Enna,"Progetti giovani. Trovar lavoro con il computer ""Antonio"""
95/96,Enna,1895-1995. Cinema! I sogni di Aclà nell'inferno di zolfo
95/96,Enna,La provincia verde. Le rosse acque di Pergusa
95/96,Enna,la melagrana di Proserpina
95/96,Messina,"Progetti giovani. Contro il disagio il ""teatro dell'oppresso"""
95/96,Messina,1895-1995. Cinema! Troisi postino per Neruda e Rossellini a Stromboli
95/96,Messina,"Taormina, il galoppo immaginario dei cavalli giocattolo"
95/96,Messina,Castanea e il miracolo del presepe
95/96,Palermo,Progetti giovani. Il riscatto dello Zen tra fiori e picche
95/96,Palermo,"1895-1995. Cinema! Palermo, set a tinte forti da Visconti a Damiani"
95/96,Palermo,I pupi di Cuticchio sperano in Orlando
95/96,Palermo,"Whitaker, dal vino all'isola dei fenici"
95/96,Palermo,"1891, l'Esposizione Nazionale per l'orgoglio del Sud"
95/96,Palermo,"Orto botanico, c'è anche l'albero che lava le mani"
95/96,Palermo,"Caruso: «La mia Palermo riconquistata»"""
95/96,Palermo,Il cocomero gelato un regalo degli albanesi
95/96,Ragusa,Progetti giovani. Calcetto in carrozzina e una scuola per il lavoro
95/96,Ragusa,Miti e leggende. Lo strano malato di Modica
95/96,Ragusa,Un futuro per le miniere di asfalto grazie all'archeologia industriale
